Address,Lat,Lon,Comparative,STR,,,,
15 White Haven Ln Palm Coast Florida 32164 USA,29.52083846,-81.23214138,TRUE,FALSE,,,,
2312 Miranda Ave Tallahassee Florida 32304 USA,30.45844764,-84.3256229,TRUE,FALSE,,,,
32 Oakland Hills Ct Rotonda West Florida 33947 USA,26.88306,-82.28851,TRUE,FALSE,,,,
9458 Arrid Cir Port Charlotte Florida 33981 USA,26.892851,-82.207077,TRUE,FALSE,,,,
11663 Alessandro Ln Venice Florida 34293 USA,27.053761,-82.313637,TRUE,FALSE,,,,
2762 Pecan Rd Tallahassee Florida 32303 USA,30.469543,-84.339232,TRUE,FALSE,,,,
678 Faith Ave Osprey Florida 34229 USA,27.19217652,-82.47700444,TRUE,FALSE,,,,
2943 Huntington Drive Tallahassee Florida 32308 USA,30.48061977,-84.25217395,TRUE,FALSE,,,,
4565 CARMEL CIR Milton Florida 32571 USA,30.60534,-87.15523,TRUE,FALSE,,,,
1030 WHITEWOOD DR Deltona Florida 32725 USA,28.8916022,-81.2611803,TRUE,FALSE,,,,
4829 Sw 23Rd Ave Cape Coral Florida 33914 USA,26.56179633,-82.02191159,TRUE,FALSE,,,,
5380 Sw 133rd Ave Miramar Florida 33027 USA,25.95850463,-80.32436111,TRUE,FALSE,,,,
4108 Artesa Dr Boynton Beach Florida 33436 USA,26.53932,-80.10986,TRUE,FALSE,,,,
604 N Matanzas Ave Tampa Florida 33609 USA,27.94987239,-82.49543492,TRUE,FALSE,,,,
1096 Boundary Blvd Rotonda West Florida 33947 USA,26.8733204,-82.2604103,TRUE,FALSE,,,,
2605 Rowell Rd Cottondale Florida 32431 USA,30.7213033,-85.3817453,TRUE,FALSE,,,,
1306 SW 36Th Terrace Cape Coral Florida 33914 USA,26.5846495,-82.00210772,TRUE,FALSE,,,,
1027 Grouse Way Venice Florida 34285 USA,27.0806758,-82.4121719,TRUE,FALSE,,,,
3372 SE 1st Street Homestead Florida 33033 USA,25.4697578,-80.4270724,TRUE,FALSE,,,,
2248 Lemon Street Saint James City Florida 33956 USA,26.49441334,-82.07935134,TRUE,FALSE,,,,
13708 47th Ct N West Palm Beach Florida 33411 USA,26.7458058,-80.2600501,TRUE,FALSE,,,,
8975 Alexandra Cir Wellington Florida 33414 USA,26.6477222,-80.18533884,TRUE,FALSE,,,,
13 Water Track Radial Ocala Florida 34472 USA,29.1130818,-82.0369791,TRUE,FALSE,,,,
4454 Tomlinson Circle Orlando Florida 32829 USA,28.4902979,-81.2614691,TRUE,FALSE,,,,
8418 Calusa Street Spring Hill Florida 34608 USA,28.44230802,-82.57731517,TRUE,FALSE,,,,
8418 Calusa Street Spring Hill Florida 34608 USA,28.44230802,-82.57731517,TRUE,FALSE,,,,
906 Riverscape St Bradenton Florida 34208 USA,27.51331126,-82.49877066,TRUE,FALSE,,,,
8895 NW 100 PLACE Miami Florida 33178 USA,25.8545898,-80.3607852,TRUE,FALSE,,,,
14114 Colonial Spring Way Orlando Florida 32826 USA,28.5664871,-81.1754095,TRUE,FALSE,,,,
17702 Circle Pond Ct Boca Raton Florida 33496 USA,26.4142875,-80.2007278,TRUE,FALSE,,,,
3680 Recreation Ln Naples Florida 34116 USA,26.1676471,-81.7090553,TRUE,FALSE,,,,
14 Carisa Royale Ct Englewood Florida 34223 USA,26.995341,-82.3613929,TRUE,FALSE,,,,
4943 Oshea St North Port Florida 34291 USA,27.0985717,-82.2440834,TRUE,FALSE,,,,
21460 SW 88TH PLACE RD Dunnellon Florida 34431 USA,29.0931371,-82.4768562,TRUE,FALSE,,,,
1304 TOM WATSON RD Lakeland Florida 33801 USA,28.0276234,-81.8923505,TRUE,FALSE,,,,
 1336 MARDRAKE RD Daytona Beach Florida 32114 USA,29.1809219,-81.0242787,TRUE,FALSE,,,,
 5041 LIDA CT Jacksonville Florida 32210 USA,30.25140561,-81.74885082,TRUE,FALSE,,,,
1218 NE 3rd St Cape Coral Florida 33909 USA,26.65840857,-81.94862793,TRUE,FALSE,,,,
12605 Canavese Ln Venice Florida 34293 USA,27.0598052,-82.3294206,TRUE,FALSE,,,,
1313 SW 28th St Cape Coral Florida 33914 USA,26.60054295,-82.00302143,TRUE,FALSE,,,,
10422 Springrose Dr Tampa Florida 33626 USA,28.0537303,-82.6309734,TRUE,FALSE,,,,
10476 Marion St Englewood Florida 34224 USA,26.8767037,-82.313395,TRUE,FALSE,,,,
775 Hiawatha Farms Rd Monticello Florida 32344 USA,30.5104692,-84.0144699,TRUE,FALSE,,,,
4355 W Gulf Dr Sanibel Florida 33957 USA,26.43857165,-82.12755372,TRUE,FALSE,,,,
127 Elena Ct Jupiter Florida 33478 USA,26.9275045,-80.16198505,TRUE,FALSE,,,,
728 Nokomis Ave S Venice Florida 34285 USA,27.088266,-82.44562829,TRUE,FALSE,,,,
1411 Tampa Rd Palm Harbor Florida 34683 USA,28.068146,-82.761634,TRUE,FALSE,,,,
16734 Grande Quay Dr Boca Grande Florida 33921 USA,26.8064138,-82.2761502,TRUE,FALSE,,,,
1675 Creek Nine Dr North Port Florida 34291 USA,27.07496623,-82.21369241,TRUE,FALSE,,,,
15891 Captiva Dr Captiva Florida 33924 USA,26.50998011,-82.19026266,TRUE,FALSE,,,,
3001 Curry Terrace Port Charlotte Florida 33981 USA,26.9891914,-82.2461803,TRUE,FALSE,,,,
1011 Barcarmil Way Naples Florida 34110 USA,26.2766665,-81.7940787,TRUE,FALSE,,,,
6955 NW 16th Ct Margate Florida 33063 USA,26.24889443,-80.21875682,TRUE,FALSE,,,,
6955 NW 16th Ct Margate Florida 33063 USA,26.24889443,-80.21875682,TRUE,FALSE,,,,
7831 L Aquila Way Delray Beach Florida 33446 USA,26.4338605,-80.1680503,FALSE,TRUE,,,,
4824 Sweet Gum Pl Melbourne Florida 32904 USA,28.0663251,-80.7091936,FALSE,TRUE,,,,
644 Ne 191st Terrace Miami Florida 33179 USA,25.9520516,-80.18880309,FALSE,TRUE,,,,
7036 Chesapeake Cir Boynton Beach Florida 33436 USA,26.56623,-80.101331,FALSE,TRUE,,,,
3210 Ne 59th St Fort Lauderdale Florida 33308 USA,26.20136624,-80.10347687,FALSE,TRUE,,,,
461 Bayshore Dr Cape Coral Florida 33904 USA,26.54621,-81.970797,FALSE,TRUE,,,,
27 Pinehurst Ct Rotonda West Florida 33947 USA,26.9072481,-82.2839347,FALSE,TRUE,,,,
41 Concord Dr Dunedin Florida 34698 USA,28.0005018,-82.7711078,FALSE,TRUE,,,,
300 Palm Ave Miami Beach Florida 33139 USA,25.781694,-80.1673713,FALSE,TRUE,,,,
11504 Grazeley Ct Orlando Florida 32837 USA,28.3993049,-81.3983919,FALSE,TRUE,,,,
153 Cohosh Rd Nokomis Florida 34275 USA,27.1298707,-82.4204961,FALSE,TRUE,,,,
2420 Nw 67th St Boca Raton Florida 33496 USA,26.40902457,-80.13471248,FALSE,TRUE,,,,
165 Antilla Dr Rotonda West Florida 33947 USA,26.9097116,-82.2390723,FALSE,TRUE,,,,
5041 Lida Ct Jacksonville Florida 32210 USA,30.25140561,-81.74885082,FALSE,TRUE,,,,
419 Cracker Ln Wauchula Florida 33873 USA,27.5594777,-81.7107181,FALSE,TRUE,,,,
3308 Cordgrass Pl Harmony Florida 34773 USA,28.19662724,-81.15565786,FALSE,TRUE,,,,
17728 Temple Blvd Loxahatchee Florida 33470 USA,26.7943307,-80.3230376,FALSE,TRUE,,,,
1010 Volusia St Tallahassee Florida 32304 USA,30.4584142,-84.29962117,FALSE,TRUE,,,,
3 Royal Oak Dr Palm Coast Florida 32164 USA,29.51680467,-81.24381933,FALSE,TRUE,,,,
13386 Alton Rd Palm Beach Gardens Florida 33418 USA,26.87678165,-80.1172694,FALSE,TRUE,,,,
7901 Citrus Blossom Dr Land O Lakes Florida 34637 USA,28.2731942,-82.4663747,FALSE,TRUE,,,,
411 N New River Dr E Apt 906 Ft Lauderdale Florida 33301 USA,26.1180136,-80.1385675,FALSE,TRUE,,,,
727 SE 13th St Fort Lauderdale Florida 33316 USA,26.10592774,-80.13519251,FALSE,TRUE,,,,
2943 Huntington Dr Tallahassee Florida 32308 USA,30.48061977,-84.25217395,FALSE,TRUE,,,,
612 Eagle Watch Ln Osprey Florida 34229 USA,27.20008963,-82.47511683,FALSE,TRUE,,,,
2843 Wild Orchid Ct Naples Florida 34119 USA,26.2818209,-81.7121039,FALSE,TRUE,,,,
111 S Village Way Jupiter Florida 33458 USA,26.89927519,-80.09890355,FALSE,TRUE,,,,
6206 Old Bethel Road Crestview Florida 32536 USA,30.79485578,-86.56291859,FALSE,TRUE,,,,
899 Malaga Dr Boca Raton Florida 33432 USA,26.323954,-80.076995,FALSE,TRUE,,,,
3935 Sunset Lake Dr Lakeland Florida 33810 USA,28.09874596,-81.99392793,FALSE,TRUE,,,,
 1721 Paula Drive Tallahassee Florida 32303 USA,30.4916231,-84.3202501,FALSE,TRUE,,,,
3308 Acapulco Dr Riverview Florida 33578 USA,27.8957507,-82.303786,FALSE,TRUE,,,,
